"region","id","SampleHabitat","Latitude","Longitude","ept_rich","log_ec","log_turb","slope","scale_temp","av_temp"
"NSW","-36.9892 149.6607 NSW","Riffle",-36.9892,149.6607,8,3.13549421592915,2.07944154167984,0.0762711707196049,-0.384332372495289,137
"NSW","-36.9913 149.608 NSW","Edge",-36.9913,149.608,7,4.86753445045558,3.00071981506503,0.0432303154073648,-0.00673812873497533,136
"NSW","-36.9913 149.608 NSW","Riffle",-36.9913,149.608,8,4.86753445045558,3.00071981506503,0.0432303154073648,-0.00673812873497533,136
"NSW","-37.00216091 149.6175388 NSW","Edge",-37.00216091,149.6175388,5.25,5.39362754635236,0.22314355131421,0.0217764940982691,0.305535302500891,141
"NSW","-37.00216091 149.6175388 NSW","Riffle",-37.00216091,149.6175388,9,5.25749537202778,0.587786664902119,0.0217764940982691,0.305535302500891,141
"NSW","-37.004834 149.024167 NSW","Edge",-37.004834,149.024167,9,3.73766961828337,1.6094379124341,0.0300189276140945,0.0813620888322844,110
"NSW","-37.004834 149.024167 NSW","Riffle",-37.004834,149.024167,8,3.73766961828337,1.6094379124341,0.0300189276140945,0.0813620888322844,110
"NSW","-37.023 149.7979 NSW","Edge",-37.023,149.7979,3,4.06044301054642,-0.356674943938732,0.0898555066498202,-0.470423484352132,144
"NSW","-37.023 149.7979 NSW","Riffle",-37.023,149.7979,9,4.06044301054642,-0.356674943938732,0.0898555066498202,-0.470423484352132,144
"NSW","-37.03044 149.6108 NSW","Edge",-37.03044,149.6108,9,5.15905529921453,0,0.027526984386397,0.0504533800152977,141
"NSW","-37.03044 149.6108 NSW","Riffle",-37.03044,149.6108,9,5.15905529921453,0,0.027526984386397,0.0504533800152977,141
"NSW","-37.0402684 148.9487985 NSW","Edge",-37.0402684,148.9487985,6.66666666666667,3.34403896782221,2.02814824729229,0.0193323610396724,0.0431595390167784,107
"NSW","-37.0402684 148.9487985 NSW","Riffle",-37.0402684,148.9487985,8,3.71357206670431,1.33500106673234,0.0193323610396724,0.0431595390167784,107
"NSW","-37.0481 148.9477 NSW","Edge",-37.0481,148.9477,5,4.17438726989564,2.59525470695687,0.00748995626041071,-0.206369339475634,108
"NSW","-37.067 149.5229 NSW","Edge",-37.067,149.5229,6,4.50258359721299,1.75785791755237,0.0504376378451246,0.138930756626034,128
"NSW","-37.067 149.5229 NSW","Riffle",-37.067,149.5229,8.75,4.50258359721299,1.75785791755237,0.0504376378451246,0.138930756626034,128
